ID,Parity,DIM,milk
1,1,6,8.2
1,1,7,14.9
1,1,8,24.2
1,1,9,26
1,1,10,25.4
1,1,11,26.6
1,1,12,27.4
1,1,13,20.3
1,1,14,24.9
1,1,15,24.9
1,1,16,34.1
1,1,17,28.6
1,1,18,30.6
1,1,19,23.2
1,1,20,26.8
1,1,21,28
1,1,22,27.3
1,1,23,28.4
1,1,24,29.2
1,1,25,31.4
1,1,26,31.9
1,1,27,32.8
1,1,28,35.2
1,1,29,36.3
1,1,30,35.1
1,1,31,37
1,1,32,35.4
1,1,33,36
1,1,34,35.9
1,1,35,36.9
1,1,36,39.3
1,1,37,34.9
1,1,38,38.8
1,1,39,37.1
1,1,40,36.6
1,1,41,36.9
1,1,42,34.5
1,1,43,31.5
1,1,44,28.2
1,1,45,27.5
1,1,46,30.6
1,1,47,32.6
1,1,48,34.4
1,1,49,34.6
1,1,50,33.8
1,1,51,36.8
1,1,52,37.2
1,1,53,35.9
1,1,54,37.3
1,1,55,35.3
1,1,56,34.6
1,1,57,37.8
1,1,58,35.9
1,1,59,35.9
1,1,60,39.9
1,1,61,36.5
1,1,62,36
1,1,63,36
1,1,64,34.7
1,1,65,34.8
1,1,66,26.3
1,1,67,28.7
1,1,68,43.2
1,1,69,27.4
1,1,70,26.6
1,1,71,25.4
1,1,72,27.2
1,1,73,24
1,1,74,30.9
1,1,75,30.3
1,1,76,32.1
1,1,77,33
1,1,78,37.4
1,1,79,38.5
1,1,80,36.1
1,1,81,38.8
1,1,82,37.7
1,1,83,39.7
1,1,84,38.7
1,1,85,41.2
1,1,86,42.9
1,1,87,41.9
1,1,88,41.2
1,1,89,34.6
1,1,90,35.8
1,1,91,34.2
1,1,92,37.9
1,1,93,36.3
1,1,94,41.8
1,1,95,36.1
1,1,96,27.8
1,1,97,37.9
1,1,98,36.1
1,1,99,39
1,1,100,36.5
1,1,101,44.3
1,1,102,41.2
1,1,103,40.5
1,1,104,35.1
1,1,105,19.5
1,1,106,25.1
1,1,107,27.4
1,1,108,30.9
1,1,109,34.5
1,1,110,35.1
1,1,111,36.7
1,1,112,34.2
1,1,113,32
1,1,114,37
1,1,115,37.1
1,1,116,35.3
1,1,117,36.7
1,1,118,38
1,1,119,37.8
1,1,120,38.9
1,1,121,40.5
1,1,122,35.7
1,1,123,38.1
1,1,124,39.4
1,1,125,39.9
1,1,126,39.8
1,1,127,39.1
1,1,128,41.8
1,1,129,40.7
1,1,130,38.5
1,1,131,41
1,1,132,39
1,1,133,41.2
1,1,134,39
1,1,135,41.6
1,1,136,40
1,1,137,39.5
1,1,138,37.9
1,1,139,36.5
1,1,140,39.9
1,1,141,39.8
1,1,142,41.3
1,1,143,35.9
1,1,144,34.9
1,1,145,41.5
1,1,146,42.5
1,1,147,39
1,1,148,38
1,1,149,37.6
1,1,150,39.9
1,1,151,40.6
1,1,152,38.8
1,1,153,39.1
1,1,154,39.3
1,1,155,41.1
1,1,156,41
1,1,157,41.5
1,1,158,41.6
1,1,159,38.8
1,1,160,38.4
1,1,161,41
1,1,162,42.8
1,1,163,38.9
1,1,164,41.2
1,1,165,40.1
1,1,166,37.8
1,1,167,37.5
1,1,168,36.9
1,1,169,34.7
1,1,170,38.3
1,1,171,37.3
1,1,172,37.6
1,1,173,38.3
1,1,174,38.9
1,1,175,37.2
1,1,176,38.9
1,1,177,34.5
1,1,178,36
1,1,179,33.2
1,1,180,37
1,1,181,37.7
1,1,182,37.2
1,1,183,36.1
1,1,184,36.7
1,1,185,36.3
1,1,186,34.1
1,1,187,37.7
1,1,188,33.5
1,1,189,38.9
1,1,190,30.8
1,1,191,36.5
1,1,192,34.5
1,1,193,36.9
1,1,194,34
1,1,195,32.7
1,1,196,34.6
1,1,197,35.2
1,1,198,34
1,1,199,35.3
1,1,200,37.5
1,1,201,35.2
1,1,202,33.9
1,1,203,34.4
1,1,204,33.1
1,1,205,37.1
1,1,206,32
1,1,207,34.3
1,1,208,34.8
1,1,209,34.1
1,1,210,33.4
1,1,211,31.5
1,1,212,34.2
1,1,213,30.6
1,1,214,34.8
1,1,215,33.6
1,1,216,33.6
1,1,217,30.8
1,1,218,32.8
1,1,219,29.4
1,1,220,31.3
1,1,221,30.8
1,1,222,30.9
1,1,223,28.6
1,1,224,30.6
1,1,225,27.9
1,1,226,29.2
1,1,227,25.9
1,1,228,27.9
1,1,229,28.1
1,1,230,30.3
1,1,231,27.9
1,1,232,28.4
1,1,233,26.7
1,1,234,28.2
1,1,235,27.5
1,1,236,28
1,1,237,30.7
1,1,238,27.8
1,1,239,30.6
1,1,240,30.8
1,1,241,29.8
1,1,242,28.8
1,1,243,26.9
1,1,244,22.7
1,1,245,23.8
1,1,246,23.3
1,1,247,26.2
1,1,248,22.6
1,1,249,23.6
1,1,250,25.2
1,1,251,28.8
1,1,252,29.2
1,1,253,27
1,1,254,25
1,1,255,27
1,1,256,29.2
1,1,257,26.3
1,1,258,25.7
1,1,259,25.6
1,1,260,22.8
1,1,261,23.5
1,1,262,25
1,1,263,29
1,1,264,27
1,1,265,26.7
1,1,266,23.9
1,1,267,25.1
1,1,268,24.8
1,1,269,23.9
1,1,270,19
1,1,271,15.3
1,1,272,22.3
1,1,273,18.3
1,1,274,18.9
1,1,275,21.3
1,1,276,20.9
1,1,277,22
1,1,278,22.5
1,1,279,20.8
1,1,280,18.7
1,1,281,19
1,1,282,20.8
1,1,283,22.9
1,1,284,19.1
1,1,285,20.9
