ID,Parity,DIM,milk1,milk2,milk3
1,1,6,,,8.2
1,1,7,,6,8.9
1,1,8,8.3,8.4,7.5
1,1,9,10.1,7.9,8
1,1,10,10.2,6.9,8.3
1,1,11,10.3,8.8,7.5
1,1,12,11.3,8.9,7.2
1,1,13,8.3,5.4,6.6
1,1,14,9.7,7.5,7.7
1,1,15,9.7,7.7,7.5
1,1,16,10.8,7.6,15.7
1,1,17,12.4,7.5,8.7
1,1,18,10.4,7.7,12.5
1,1,19,6.2,7.6,9.4
1,1,20,10.1,7.6,9.1
1,1,21,11.3,,16.7
1,1,22,11.9,,15.4
1,1,23,12,,16.4
1,1,24,11.2,,18
1,1,25,12.8,,18.6
1,1,26,15.3,,16.6
1,1,27,12,10.6,10.2
1,1,28,13.4,11.4,10.4
1,1,29,13.5,12,10.8
1,1,30,15.1,10.3,9.7
1,1,31,13.9,11.4,11.7
1,1,32,14,10.2,11.2
1,1,33,13.9,10,12.1
1,1,34,14.5,10.1,11.3
1,1,35,14.7,11.1,11.1
1,1,36,15.5,11.6,12.2
1,1,37,13.6,11.4,9.9
1,1,38,14.2,12.8,11.8
1,1,39,13.2,12.8,11.1
1,1,40,14.2,10.6,11.8
1,1,41,13.4,11.5,12
1,1,42,15.5,9.3,9.7
1,1,43,15,8,8.5
1,1,44,13.7,3.4,11.1
1,1,45,11.2,9.2,7.1
1,1,46,11.5,8.9,10.2
1,1,47,11.8,9.9,10.9
1,1,48,13.5,10.5,10.4
1,1,49,13.8,10.3,10.5
1,1,50,12.3,10.5,11
1,1,51,15.3,10.2,11.3
1,1,52,15.4,11,10.8
1,1,53,12.8,11.4,11.7
1,1,54,12.3,14.1,10.9
1,1,55,13.1,11.2,11
1,1,56,13.4,12,9.2
1,1,57,14.6,11.3,11.9
1,1,58,14.2,10.5,11.2
1,1,59,14.3,10.1,11.5
1,1,60,16.3,10.6,13
1,1,61,14.4,10.2,11.9
1,1,62,15.8,10.2,10
1,1,63,16.9,6.7,12.4
1,1,64,16.2,10,8.5
1,1,65,13.9,9.8,11.1
1,1,66,10.3,6.3,9.7
1,1,67,13.1,8.8,6.8
1,1,68,18.3,8.9,16
1,1,69,10,8.2,9.2
1,1,70,9.9,9.1,7.6
1,1,71,9.3,8.6,7.5
1,1,72,10.2,7.4,9.6
1,1,73,9.9,7.4,6.7
1,1,74,11.2,10.1,9.6
1,1,75,10.9,9.3,10.1
1,1,76,12,9.2,10.9
1,1,77,13.3,6.7,13
1,1,78,15.1,12.3,10
1,1,79,15.5,12,11
1,1,80,13.9,11.3,10.9
1,1,81,15.9,10.2,12.7
1,1,82,13.8,11.7,12.2
1,1,83,13.7,11,15
1,1,84,14.8,12.5,11.4
1,1,85,16.2,12.7,12.3
1,1,86,17.5,13.2,12.2
1,1,87,16.1,12.9,12.9
1,1,88,16.6,11.2,13.4
1,1,89,13.8,10.7,10.1
1,1,90,14.1,9.9,11.8
1,1,91,13.4,9.8,11
1,1,92,14.4,11.5,12
1,1,93,14.5,11.3,10.5
1,1,94,18.8,12.6,10.4
1,1,95,15.9,10.4,9.8
1,1,96,10.8,9.2,7.8
1,1,97,14.1,12.2,11.6
1,1,98,14,11.2,10.9
1,1,99,14.6,11.1,13.3
1,1,100,14.2,12.7,9.6
1,1,101,18.1,12.7,13.5
1,1,102,13.8,12.5,14.9
1,1,103,14.6,13.8,12.1
1,1,104,14.8,12.5,7.8
1,1,105,7.3,6.6,5.6
1,1,106,8.2,5.9,11
1,1,107,11.7,7.9,7.8
1,1,108,12.5,9.2,9.2
